what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1226851353458
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals,1226851354056
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals,1226851354541
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851361333
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.override.methods,1226851374488
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851374518
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851375722
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851381638
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1226851387435
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1226851387718
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1226851392288
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851393851
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851403799
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1226851407623
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1226851420971
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851421991
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851500085
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1226851501306
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1226851501932
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1226851502973
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.scroll.lineUp,1226851503579
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1226851504360
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1226851504670
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851505681
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226851574696
